QuoteDate,SymbolId,SymbolName,DealVolume,DealCount,DealAmount,OpenPrice,HighPrice,LowPrice,ClosePrice,PriceChange,PriceChangeRatio,PERatio
2017/9/1,1101,台泥,4098028,1390,141910702,34.7,34.75,34.5,34.65,-0.2,-0.57,17.95
2017/9/1,1301,台塑,3610877,1717,338602683,93.8,94.2,93.4,93.7,-0.2,-0.21,13.86
2017/9/1,2002,中鋼,13662138,4757,343988883,25.15,25.25,25.1,25.15,-0.15,-0.59,22.46
2017/9/1,2330,台積電,17805405,6956,3851834126,215,217.5,215,216.5,0,0,16
2017/9/4,1101,台泥,3281172,1118,113226500,34.5,34.6,34.4,34.45,-0.2,-0.58,17.85
2017/9/4,1301,台塑,2698503,1536,254164482,94,94.5,93.8,94.5,0.8,0.85,13.98
2017/9/4,2002,中鋼,8328226,2847,209773338,25.15,25.25,25.15,25.2,0.05,0.2,22.5
2017/9/4,2330,台積電,15053185,8635,3273164145,216.5,218,215.5,217.5,1,0.46,16.08
2017/9/5,1101,台泥,6737186,1959,230731576,34.4,34.45,34.15,34.25,-0.2,-0.58,17.75
2017/9/5,1301,台塑,8095502,3620,766144476,94.5,95.3,94.1,95.3,0.8,0.85,14.1
2017/9/5,2002,中鋼,16371288,3521,412393750,25.15,25.3,25.15,25.3,0.1,0.4,22.59
2017/9/5,2330,台積電,34514275,7065,7503488603,218,218,216.5,218,0.5,0.23,16.11
2017/9/6,1101,台泥,4335726,1461,148040187,34.15,34.2,34.1,34.1,-0.15,-0.44,17.67
2017/9/6,1301,台塑,9395070,3269,893486000,95.2,95.4,94.3,95.4,0.1,0.1,14.11
2017/9/6,2002,中鋼,17886645,4240,449675394,25.25,25.25,25.05,25.05,-0.25,-0.99,22.37
2017/9/6,2330,台積電,28148528,6999,6117444609,216.5,218,216,217,-1,-0.46,16.04
2017/9/7,1101,台泥,8073415,2520,274158471,34.1,34.15,33.8,33.8,-0.3,-0.88,17.51
2017/9/7,1301,台塑,7167923,3812,688645008,95.5,96.7,95,95.8,0.4,0.42,14.17
2017/9/7,2002,中鋼,12149042,3759,304733884,25.1,25.2,25,25.15,0.1,0.4,22.46
2017/9/7,2330,台積電,19198540,6586,4170321680,218,218.5,216,217,0,0,16.04
2017/9/8,1101,台泥,4167136,2045,141609424,33.85,34.1,33.8,34.05,0.25,0.74,17.64
2017/9/8,1301,台塑,5878086,2899,566312063,95.8,97,95.4,97,1.2,1.25,14.35
2017/9/8,2002,中鋼,9560864,2984,240218209,25.1,25.2,25,25.2,0.05,0.2,22.5
2017/9/8,2330,台積電,25512045,7969,5549520265,217,218,216.5,218,1,0.46,16.11
2017/9/11,1101,台泥,4425075,2321,150117225,34,34,33.85,33.95,-0.1,-0.29,17.59
2017/9/11,1301,台塑,3353724,2161,322374901,96.8,96.9,95.9,95.9,-1.1,-1.13,14.19
2017/9/11,2002,中鋼,9330718,3206,235527156,25.2,25.3,25.1,25.3,0.1,0.4,22.59
2017/9/11,2330,台積電,19387886,5305,4215723762,219,219.5,216.5,217,-1,-0.46,16.04
2017/9/12,1101,台泥,5221796,2221,176811271,33.9,33.95,33.8,33.85,-0.1,-0.29,17.54
2017/9/12,1301,台塑,2760282,1278,264434912,96,96,95.5,95.8,-0.1,-0.1,14.17
2017/9/12,2002,中鋼,8352698,2605,210634155,25.3,25.3,25.1,25.3,0,0,22.59
2017/9/12,2330,台積電,24862321,5992,5437521978,219,219.5,217.5,219,2,0.92,16.19
